district_id,cook_rating,incumb_status,pvi,is_currently_committed,model_party_dollars,dccc_scaled_party_dollars,delta_seats
TX-32,Safe D,Challenger,13.571719379477386,False,3894622.4774365965,0.0,0.2796957924730352
GA-07,Likely D,Challenger,8.481636073280551,False,3629363.5607854333,0.0,0.2612871261197467
NC-14,Lean D,Challenger,5.0351647382739895,False,3148874.7611545785,0.0,0.2539969264107887
NC-06,Lean D,Challenger,4.163220378592431,False,3893204.273922309,0.0,0.21496775401539542
FL-22,Likely D,Challenger,7.92701110812219,False,6954757.470988911,0.0,0.19939510081767897
RI-02,Likely D,Incumbent,3.7712601111473285,False,2356069.5224793334,0.0,0.19384849505146495
WI-01,Lean R,Challenger,-2.905236133876948,False,4904769.664314354,0.0,0.15891416554532195
FL-28,Toss-Up,Challenger,0.7406612144223361,False,3493890.0217739865,0.0,0.15848432976412474
VA-02,Lean R,Challenger,-2.661735182405322,False,7082094.625449214,0.0,0.14611012124944672
NV-01,Likely D,Incumbent,3.1666798532818117,False,1220711.1354745994,0.0,0.14585073906630897
NY-01,Likely R,Challenger,-3.6928800390495202,False,4819021.630933661,0.0,0.14553048783190098
OH-10,Likely R,Challenger,-4.1762804360223,False,3429867.8833785043,0.0,0.14452680893315822
NY-02,Likely R,Challenger,-3.774283387941013,False,4122919.333959095,0.0,0.13919406509642818
CA-40,Lean R,Challenger,-2.3490241947268897,False,10338126.478869686,0.0,0.13746836097456872
TX-15,Toss-Up,Challenger,1.0192203759560066,False,8203395.111245807,0.0,0.1337618759783445
LA-06,Safe R,Incumbent,-18.66232902104467,False,2872167.5983659904,0.0,0.13070489575812205
FL-07,Likely R,Challenger,-5.117554716684672,False,4216450.007056221,0.0,0.12610931494197325
PA-08,Likely R,Challenger,-4.501763513589582,False,6720426.135199249,0.0,0.12466347180038712
IA-01,Likely R,Challenger,-3.23919947167052,False,7739455.0288811335,0.0,0.12119923358606532
NJ-02,Likely R,Challenger,-4.761067754946824,False,5152802.267294216,0.0,0.12045446063676019
FL-27,Toss-Up,Challenger,2.7019707357899074,False,4976737.610046914,0.0,0.11938653234679608
MI-04,Likely R,Challenger,-5.202260954909226,False,5804351.154687625,0.0,0.1192829641554492
FL-13,Likely R,Challenger,-5.446031223054323,False,4480671.124936349,0.0,0.11907104495320925
MI-07,Lean R,Challenger,-2.55840954579728,False,8319923.918795142,0.0,0.11816582741837656
FL-04,Likely R,Challenger,-6.09606681878749,False,3930751.2449932643,0.0,0.11616687423153715
OH-15,Likely R,Challenger,-6.124369085418522,False,5247622.709791667,0.0,0.10548515997483737
VA-05,Likely R,Challenger,-6.758397945939892,False,4399970.267321358,0.0,0.10458694629788962
CA-13,Likely D,Incumbent,4.383782670392684,True,4604757.820722186,237560.775726484,0.09877063267566755
PA-10,Likely R,Challenger,-5.326025754717467,False,6916825.3669002205,0.0,0.09529549802231108
IA-03,Lean R,Challenger,-2.591819058935757,False,5988296.301505308,0.0,0.09448972375517661
OH-09,Toss-Up,Incumbent,-2.6750752258288104,False,3089590.9701862456,0.0,0.09398157171717547
NC-13,Toss-Up,Incumbent,-1.864598296187117,False,3036449.330476258,0.0,0.0933717914330876
MI-10,Lean R,Open,-3.3435538497304127,False,5470807.540721698,0.0,0.08996320113222961
NC-09,Likely R,Challenger,-5.841307578312968,False,6854104.707136554,0.0,0.08847664096384639
CO-03,Likely R,Challenger,-7.619998140340705,False,5182736.214231696,0.0,0.08824060666729039
OH-07,Likely R,Challenger,-7.0155130829773595,False,2500633.294871559,0.0,0.08620541819932703
FL-14,Safe D,Incumbent,8.855974120729392,False,1639428.5387583147,0.0,0.08433035312066606
IA-02,Lean R,Open,-4.036017317545893,False,3810874.0769296177,0.0,0.08417028512882857
VA-01,Likely R,Challenger,-6.880373957461114,False,5042957.34898613,0.0,0.08291179546054772
MT-01,Likely R,Open,-6.648156748725844,False,4249200.154824881,0.0,0.08234248048553644
NV-02,Likely R,Open,-8.147825812678416,False,4897733.766445626,0.0,0.08086389041391362
WA-05,Safe R,Challenger,-8.078962030869253,False,2586418.8531053592,0.0,0.08083406729411374
MO-02,Likely R,Challenger,-7.986075858271152,False,4214387.099658273,0.0,0.07944192869875283
FL-09,Safe D,Incumbent,9.587847940804794,False,1595655.8078887938,0.0,0.07850059598410897
CA-45,Likely D,Incumbent,3.405664749834103,False,3104062.1091992203,0.0,0.07576166488524427
NE-02,Toss-Up,Open,-0.5855479710474842,False,5402219.379715386,0.0,0.07451144122739761
MN-01,Likely R,Challenger,-7.847842235909125,False,4224706.194809899,0.0,0.07288259663806063
